Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
pencil	13.439305	3.687449	11.129081	4.106390	3.324692	0.335690
penguin	11.965994	5.580065	11.664503	5.841720	3.015339	0.581211
penis	13.678125	6.189729	11.591249	6.723848	3.649713	0.305515
penny	13.203241	4.400107	12.073703	3.813304	3.313303	0.541914
people	11.459927	3.994550	12.835112	3.722002	2.139243	1.085253
person	11.565699	4.563004	11.308083	3.959554	3.298047	0.644557
pick	11.766527	5.474329	12.196106	6.402432	1.442571	0.497311
pickle	14.028457	4.022243	12.036511	4.544907	3.371369	0.212059
picnic	12.071288	3.789850	11.517878	3.816981	3.094826	0.523184
picture	11.736730	2.752324	14.146889	1.231247	2.301357	1.218074
pig	11.324187	4.373956	15.654026	-0.626044	2.655007	2.402904
pillow	12.055645	5.478443	11.226586	4.802774	3.229531	0.765446
pizza	11.887978	4.377888	16.887978	2.858444	1.056776	2.217917
plant	12.407051	7.727495	11.797049	7.582935	3.117005	0.728279
plate	12.608227	3.707159	16.667519	0.492387	2.235211	1.743286
play	10.748195	3.563833	10.955373	4.333526	1.551368	0.364110
playground	14.534318	6.533581	12.608561	8.161405	3.284264	0.207829
please	11.619598	4.013979	13.572170	3.824643	1.676970	1.158788
police	14.310026	3.827548	12.466041	5.084267	3.049570	0.355838
pony	13.190178	6.114708	11.189889	6.160291	3.339784	0.415706
pool	12.381479	3.685719	11.219345	3.391738	3.311760	0.406452
poor	11.195486	6.127398	10.970304	6.659053	2.633429	0.650828
popcorn	14.516126	4.868309	12.310037	5.960186	3.355547	0.265483
popsicle	13.619043	7.704978	11.832533	7.549928	3.816447	0.412511
porch	12.332719	4.738068	11.045861	4.115592	3.751252	0.317994
potato	13.598461	4.726115	11.830705	5.369265	3.258580	0.314597
pour	12.174293	5.293174	11.478607	5.215272	3.076823	0.627846
present	12.903845	4.116523	11.730864	4.523232	2.971592	0.440216
pretend	11.068451	5.248164	13.624178	0.248164	3.502618	2.389332
pretty	10.581384	4.851694	15.581384	2.548314	1.170253	2.630444
pretzel	11.738919	5.914364	10.831805	6.405501	3.734638	0.225229
pudding	13.880914	6.038652	12.148201	6.204474	3.287598	0.344467
pull	12.498970	4.969392	14.292135	5.811703	1.390694	0.828444
pumpkin	11.520919	5.846083	11.385641	5.288495	3.244289	0.777144
puppy	11.792981	4.063779	11.809120	-0.936221	4.166563	1.645101
purse	11.135705	4.316811	10.650867	3.353719	3.908197	0.661443
